CC_PROPERTY_ID,SITUSCITY,SITUSZIP5,pre_bedrooms,pre_full_baths,pre_half_baths,pre_gla_sqft,pre_rooms,pre_garage_spaces,pre_observations,post_bedrooms,post_full_baths,post_half_baths,post_gla_sqft,post_rooms,post_garage_spaces,post_observations,treatment_date,days_observed,change_bedrooms,change_full_baths,change_half_baths,change_gla_sqft,change_rooms,change_garage_spaces,pct_change_gla
89086091,albany,12206,3.0,2.0,1.0,3547.0,10.0,2.0,4,4.0,2.0,1.0,3584.0,10.0,3.0,6,2019-08-07 13:02:45,1581,1.0,0.0,0.0,37.0,0.0,1.0,1.0431350436989004
89086127,albany,12204,2.0,1.0,,1092.0,5.666666666666667,1.0,20,3.0,1.0,,1055.0,5.0,1.0,6,2023-12-06 05:09:05,1246,1.0,0.0,,-37.0,-0.666666666666667,0.0,-3.3882783882783882
89086328,albany,12206,2.0,2.0,,1340.0,5.5,,12,3.0,2.0,,1276.0,5.0,,6,2023-12-06 05:07:22,452,1.0,0.0,,-64.0,-0.5,,-4.776119402985075
89086571,albany,12206,2.0,2.0,,1373.0,7.333333333333333,3.0,3,3.0,3.0,,2211.0,7.411764705882353,3.0,19,2022-07-08 02:02:42,604,1.0,1.0,,838.0,0.07843137254902022,0.0,61.03423160961399
89086607,menands,12204,3.0,1.0,1.0,1554.2,5.5625,1.0,22,5.0,2.0,,1556.0,7.0,,9,2023-08-07 11:42:32,1153,2.0,1.0,,1.7999999999999545,1.4375,,0.1158152103976293
89086613,menands,12204,3.0,1.0,,1570.0,6.0,2.0,8,4.0,2.0,,1680.0,7.666666666666667,2.0,29,2022-02-11 21:10:47,2030,1.0,1.0,,110.0,1.666666666666667,0.0,7.006369426751593
89086724,albany,12206,4.0,3.0,1.0,2748.0,8.0,2.0,8,5.0,3.0,1.0,2664.0,9.0,2.0,12,2022-07-08 06:57:10,2030,1.0,0.0,0.0,-84.0,1.0,0.0,-3.056768558951965
89086901,albany,12206,4.0,2.0,1.0,3165.0,,,4,5.0,2.0,1.0,,8.0,2.0,6,2023-12-06 05:02:10,981,1.0,0.0,0.0,,,,
89086910,albany,12206,3.0,2.0,1.0,1940.0,8.0,2.0,2,4.0,2.0,1.0,2012.0,8.0,2.0,8,2019-08-07 13:04:55,2585,1.0,0.0,0.0,72.0,0.0,0.0,3.711340206185567
89086934,albany,12206,3.0,2.0,1.0,1900.0,7.0,2.0,6,4.0,2.0,1.0,1919.0,7.5,2.0,10,2023-12-06 05:02:10,448,1.0,0.0,0.0,19.0,0.5,0.0,1.0
89086958,albany,12206,3.0,2.0,1.0,,7.0,2.0,4,4.0,2.0,1.0,2008.0,7.375,2.0,42,2019-08-07 13:02:29,2033,1.0,0.0,0.0,,0.375,0.0,
89086976,albany,12206,3.0,2.0,1.0,2175.0,8.0,2.0,6,4.0,2.0,1.0,,8.0,2.0,6,2023-12-06 05:00:37,448,1.0,0.0,0.0,,0.0,0.0,
89087000,albany,12206,3.0,2.0,2.0,1892.0,6.0,2.0,26,4.0,2.0,,1916.4761904761904,7.238095238095238,2.0,29,2019-08-07 13:02:45,2275,1.0,0.0,,24.476190476190368,1.2380952380952381,0.0,1.2936675727373343
89087006,albany,12206,3.0,2.0,1.0,2316.0,9.0,2.0,9,5.0,2.0,1.0,2406.4285714285716,,2.0,14,2023-09-12 10:17:59,2700,2.0,0.0,0.0,90.42857142857156,,0.0,3.904515173945231
89087024,albany,12210,3.0,2.0,,2000.0,6.0,,6,4.0,2.0,,1949.0,8.0,2.0,6,2023-12-05 21:39:24,1150,1.0,0.0,,-51.0,2.0,,-2.55
89087030,albany,12204,3.0,2.0,1.0,788.0,8.0,2.0,6,4.0,2.0,1.0,1638.6969696969697,8.054054054054054,2.0,65,2019-08-07 13:02:29,2030,1.0,0.0,0.0,850.6969696969697,0.05405405405405439,0.0,107.95646823565606
89087063,albany,12204,3.0,2.0,1.0,1939.0,8.0,2.0,6,4.0,2.0,1.0,,12.0,2.0,7,2023-01-27 18:03:58,761,1.0,0.0,0.0,,4.0,0.0,
89087174,albany,12204,3.0,2.0,1.0,,8.0,2.0,4,4.0,2.0,1.0,1958.0,8.0,2.0,8,2018-01-31 22:03:16,2582,1.0,0.0,0.0,,0.0,0.0,
89087201,albany,12203,3.0,2.0,,1847.0,7.0,2.0,6,6.0,2.0,1.0,2007.0,,2.0,2,2018-01-31 22:03:16,2134,3.0,0.0,,160.0,,0.0,8.662696264212236
89087228,albany,12203,3.0,2.0,1.0,2127.0,8.285714285714286,2.0,16,4.0,2.0,1.0,2024.2857142857142,8.0,2.0,30,2018-01-31 22:03:16,2582,1.0,0.0,0.0,-102.71428571428578,-0.2857142857142865,0.0,-4.829068439787767
89087300,albany,12203,3.0,2.0,1.0,1895.0,8.0,2.0,8,4.0,2.0,1.0,1878.9655172413793,8.0,2.0,38,2018-01-31 22:03:16,2582,1.0,0.0,0.0,-16.034482758620697,0.0,0.0,-0.8461468474206172
89087312,albany,12203,3.0,2.0,1.0,2041.0,7.52,1.8,39,4.0,2.0,1.0,2025.0,8.0,2.0,14,2018-01-31 22:03:16,2582,1.0,0.0,0.0,-16.0,0.4800000000000004,0.19999999999999996,-0.7839294463498285
89087318,albany,12204,3.0,2.0,1.0,1644.0,8.0,2.0,6,4.0,2.0,1.0,1950.0,9.2,2.0,15,2018-06-14 00:11:01,2449,1.0,0.0,0.0,306.0,1.1999999999999993,0.0,18.613138686131386
89087372,albany,12206,3.0,2.0,1.0,1976.0,8.0,2.0,12,4.0,2.0,1.0,2025.3548387096773,8.121212121212121,2.0,37,2022-07-08 21:39:24,967,1.0,0.0,0.0,49.354838709677324,0.1212121212121211,0.0,2.4977145095990547
